#           x             y             z             p           U_x           U_y           U_z
         -0.5            -1           0.5       78.4626       36.3251       7.40928  -1.19204e-19
    -0.484375            -1           0.5        79.666       36.3028       7.38856  -6.60098e-21
     -0.46875            -1           0.5       80.3436       36.2839       7.37101  -5.95708e-20
    -0.453125            -1           0.5       81.1584       36.2626       7.34978  -3.60574e-19
      -0.4375            -1           0.5       82.1647       36.2417       7.33371   1.37718e-19
    -0.421875            -1           0.5       83.1516       36.2187       7.31322   1.51464e-20
     -0.40625            -1           0.5       84.1215       36.2003       7.28692  -6.13001e-19
    -0.390625            -1           0.5       84.9348       36.1818       7.26366  -4.40681e-20
       -0.375            -1           0.5        85.944       36.1621       7.23552  -3.88865e-19
    -0.359375            -1           0.5       86.9895       36.1406       7.20851  -6.12106e-20
     -0.34375            -1           0.5       87.7737       36.1194       7.18755  -8.57785e-21
    -0.328125            -1           0.5       88.5707       36.0989       7.16003  -1.26178e-21
      -0.3125            -1           0.5       89.6195       36.0765       7.13291   4.61318e-21
    -0.296875            -1           0.5       90.4712        36.058       7.10994   1.41574e-20
     -0.28125            -1           0.5       91.0784       36.0502       7.07744   4.65654e-19
    -0.265625            -1           0.5        91.674        36.037       7.04529  -3.27415e-19
        -0.25            -1           0.5       92.2779       36.0269       7.01821   -5.8326e-19
    -0.234375            -1           0.5       92.8435       36.0202       6.98132  -4.99446e-19
     -0.21875            -1           0.5       93.9008       36.0014       6.95042  -3.85751e-20
    -0.203125            -1           0.5       95.1726       35.9779       6.92168   5.80282e-19
      -0.1875            -1           0.5       95.5375       35.9673       6.89506   5.56526e-19
    -0.171875            -1           0.5        96.195       35.9533       6.85872   2.24677e-19
     -0.15625            -1           0.5       96.6731       35.9431       6.82215   5.89047e-20
    -0.140625            -1           0.5       97.2662       35.9325       6.79256   1.65149e-19
       -0.125            -1           0.5       97.9567       35.9234       6.76186  -1.30959e-19
    -0.109375            -1           0.5       98.3097       35.9157       6.72722   7.78812e-19
     -0.09375            -1           0.5       98.7372       35.9104       6.69155    1.1685e-18
    -0.078125            -1           0.5       99.3021       35.9043       6.65822   9.34982e-19
      -0.0625            -1           0.5       99.8873       35.8981       6.62523   6.09495e-19
    -0.046875            -1           0.5       100.411        35.894        6.5892  -7.00529e-20
     -0.03125            -1           0.5         100.9       35.8903       6.55354  -6.94807e-19
    -0.015625            -1           0.5       100.842       35.8897       6.51903  -1.70785e-19
  1.64799e-17            -1           0.5       101.172       35.8876       6.48233  -2.27178e-19
     0.015625            -1           0.5       101.445        35.884        6.4485  -3.13534e-19
      0.03125            -1           0.5       102.239       35.8807       6.41383  -3.81577e-19
     0.046875            -1           0.5       102.127       35.8869       6.37327   4.51315e-20
       0.0625            -1           0.5       102.291       35.8891       6.33535   5.78217e-20
     0.078125            -1           0.5       102.461       35.8911       6.29802   4.99331e-21
      0.09375            -1           0.5       102.615       35.8937        6.2618   1.58616e-19
     0.109375            -1           0.5       102.725       35.8978       6.22742   8.97124e-19
        0.125            -1           0.5       102.835       35.9019       6.19305   1.63563e-18
     0.140625            -1           0.5       102.672       35.9089       6.16484  -1.07365e-19
      0.15625            -1           0.5       102.485       35.9174       6.12515  -4.53109e-20
     0.171875            -1           0.5       102.349       35.9281          6.09  -7.71863e-21
       0.1875            -1           0.5       102.308       35.9379       6.05796  -1.40207e-19
     0.203125            -1           0.5       102.152       35.9525       6.02529   -3.7696e-20
